codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
100;SUPORTE MEIA LUA CAV CENTRAL TITAN125 99;SUPORTE MEIA LUA CAV CENTRAL TITAN125 99;ACESSÓRIO;NÃO IDENTIFICADO;TITAN125;3.15;83;8;DISPONIVEL
10006;JOGO JUNTA BIZ125 S/BORR;JOGO JUNTA BIZ125 S/BORR;MOTOR;NÃO IDENTIFICADO;BIZ125;18.37;32;12;DISPONIVEL
10009;JUNTA CILINDRO BIZ125;JUNTA CILINDRO BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;1.93;40;14;DISPONIVEL
10011;JUNTA TAMPA CABECOTE LE BIZ125;JUNTA TAMPA CABECOTE LE BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;3.20;97;20;DISPONIVEL
10012;JUNTA TAMPA LAT LD BIZ125;JUNTA TAMPA LAT LD BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;7.65;97;19;DISPONIVEL
10013;JUNTA TAMPA LAT LE BIZ125;JUNTA TAMPA LAT LE BIZ125;MOTOR;NÃO IDENTIFICADO;BIZ125;4.17;88;3;DISPONIVEL
10014;JOGO JUNTA FAZER/LANDER250 S/BORR;JOGO JUNTA FAZER/LANDER250 S/BORR;MOTOR;NÃO IDENTIFICADO;LANDER250;50.25;35;15;DISPONIVEL
10015;JUNTA CABECOTE FAZER/LANDER250;JUNTA CABECOTE FAZER/LANDER250;MOTOR;NÃO IDENTIFICADO;LANDER250;19.72;45;19;DISPONIVEL
10016;JUNTA CILINDRO FAZER/LANDER250;JUNTA CILINDRO FAZER/LANDER250;MOTOR;NÃO IDENTIFICADO;LANDER250;3.63;29;9;DISPONIVEL
10062;ESTICADOR CORRENTE BIZ100-125/POP100-110;ESTICADOR CORRENTE BIZ100-125/POP100-110;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;BIZ100 / POP100;3.42;22;9;DISPONIVEL
10064;ESTICADOR CORRENTE CBX/XR250;ESTICADOR CORRENTE CBX/XR250;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;NÃO IDENTIFICADO;10.66;58;4;DISPONIVEL
10069;VARETA FREIO TRAS CB300/CBX250;VARETA FREIO TRAS CB300/CBX250;FREIO;NÃO IDENTIFICADO;CB300 / CBX250;10.28;7;14;ESTOQUE BAIXO
10073;PEDALEIRA TRAS LD NX400 PT;PEDALEIRA TRAS LD NX400 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;11.66;74;19;DISPONIVEL
10074;PEDALEIRA TRAS LE NX400 PT;PEDALEIRA TRAS LE NX400 PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;NÃO IDENTIFICADO;12.69;24;18;DISPONIVEL
10140;PORCA COL DIR ABERTA TITAN150;PORCA COL DIR ABERTA TITAN150;OUTROS;NÃO IDENTIFICADO;TITAN150;5.66;35;17;DISPONIVEL
10155;MANOPLA TITAN125 95-99 138MM PT;MANOPLA TITAN125 95-99 138MM PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN125;5.66;59;8;DISPONIVEL
10156;MANOPLA TITAN125 00 138MM PT;MANOPLA TITAN125 00 138MM PT;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN125;5.21;44;18;DISPONIVEL
10199;PISTAO C/ANEIS CBX/XR250 STD;PISTAO C/ANEIS CBX/XR250 STD;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.21;98;17;DISPONIVEL
10200;PISTAO C/ANEIS CBX/XR250 0,25;PISTAO C/ANEIS CBX/XR250 0,25;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.48;35;11;DISPONIVEL
10201;PISTAO C/ANEIS CBX/XR250 0,50;PISTAO C/ANEIS CBX/XR250 0,50;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.21;96;15;DISPONIVEL
10202;PISTAO C/ANEIS CBX/XR250 0,75;PISTAO C/ANEIS CBX/XR250 0,75;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;90.21;45;18;DISPONIVEL
10206;PASTILHA DIANT LANDER250/YES125 942;PASTILHA DIANT LANDER250/YES125 942;FREIO;NÃO IDENTIFICADO;LANDER250 / YES125;13.05;20;4;DISPONIVEL
10207;PASTILHA TRAS NX400/XRE300 S/ABS 943;PASTILHA TRAS NX400/XRE300 S/ABS 943;FREIO;NÃO IDENTIFICADO;XRE300;12.44;53;4;DISPONIVEL
10233;RETENTOR HASTE VALV BIZ/TITAN125-150;RETENTOR HASTE VALV BIZ/TITAN125-150;OUTROS;NÃO IDENTIFICADO;TITAN125;11.28;10;11;ESTOQUE BAIXO
1034;JOGO JUNTA XLX350 C/TPA CABECOTE;JOGO JUNTA XLX350 C/TPA CABECOTE;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;49.96;52;19;DISPONIVEL
10359;PEDAL APOIO DIANT TITAN125 99;PEDAL APOIO DIANT TITAN125 99;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN125;26.81;49;14;DISPONIVEL
10361;PEDAL APOIO DIANT TITAN150 08;PEDAL APOIO DIANT TITAN150 08;PEDAIS/COMANDOS;NÃO IDENTIFICADO;TITAN150;31.05;22;20;DISPONIVEL
10402;CHAPINHA ESTICADOR CORRENTE CBX250 01;CHAPINHA ESTICADOR CORRENTE CBX250 01;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;CBX250;1.58;73;13;DISPONIVEL
10403;CHAPINHA ESTICADOR CORRENTE CBX200 89;CHAPINHA ESTICADOR CORRENTE CBX200 89;RELAÇÃO/TRANSMISSÃO;NÃO IDENTIFICADO;CBX200;1.61;93;13;DISPONIVEL
10415;CAMISA CILINDRO CBX250;CAMISA CILINDRO CBX250;MOTOR;NÃO IDENTIFICADO;CBX250;83.81;85;14;DISPONIVEL
10416;ACIONADOR CORR COM FAZER250/XT225;ACIONADOR CORR COM FAZER250/XT225;OUTROS;NÃO IDENTIFICADO;FAZER250;46.35;5;17;ESTOQUE BAIXO
10417;BLOCO OPTICO BIZ125 06-10;BLOCO OPTICO BIZ125 06-10;ELÉTRICA;NÃO IDENTIFICADO;BIZ125;26.06;60;20;DISPONIVEL
10420;GUIA VALVULA ADM/ESC TITAN150-160;GUIA VALVULA ADM/ESC TITAN150-160;MOTOR;NÃO IDENTIFICADO;TITAN150;10.95;82;10;DISPONIVEL
10421;GUIA VALVULA ADM/ESC CBX/XR250;GUIA VALVULA ADM/ESC CBX/XR250;MOTOR;NÃO IDENTIFICADO;NÃO IDENTIFICADO;8.69;51;5;DISPONIVEL
